Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
Rivaazz The Fashion House,"26/1, Near 56 Dukan, Chain Singh Ka Bagicha, New Palasia, Indore, Madhya Pradesh 452001",26/1,"Near 56 Dukan, Chain Singh Ka Bagicha, New Palasia","Women's clothing store,Boutique",080856 44919,"080856 44919, +91 80856 44919",YES,333,4.7,https://search.google.com/local/reviews?placeid=ChIJ0ZxHpjj9YjkRbVPHGLX4wOY&q=boutiques+in+regal+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=16627563280940356461,22.725843899999997,75.88417299999999,http://www.rivaazz.com/,rivaazz.com,"Wednesday:[11 am–9:30 pm], Thursday:[11 am–9:30 pm], Friday:[11 am–9:30 pm], Saturday:[11 am–9:30 pm], Sunday:[11 am–9:30 pm], Monday:[11 am–9:30 pm], Tuesday:[11 am–9:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEYlQUo55sg1v51FeJuY9oVaUjnUcZxFbbBi4eCGT9iNw3ASNzVoQODWwaWh-PRNk-tPELwwSqQ5NdqDsu8B7iw22y726zBEsycTqokhYFlJQiV7EktHqiwCgLtwpI7qN3pPsvR4A=w80-h112-k-no,16627563280940356461,ChIJ0ZxHpjj9YjkRbVPHGLX4wOY,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"MONALISA BOUTIQUE, Indore","Nariman - Balaji Heights, 81, Main Rd, opposite Warzish Fitness Club, Sector MR-4, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010",Nariman - Balaji Heights,"81, Main Rd","Boutique,Bangle Shop,Fabric store,Handbags shop,Jewelry store,Saree Shop,Sewing shop,Tailor,Wedding dress rental service,Women's clothing store",088397 04020,"088397 04020, +91 88397 04020",YES,103,5,https://search.google.com/local/reviews?placeid=ChIJJYw3iPwdYzkRvjAsqfnKvnc&q=boutiques+in+regal+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8628557109722362046,22.7596654,75.9129993,https://instagram.com/monalisaboutique83?igshid=OGQ5ZDc2ODk2ZA==,instagram.com,"Wednesday:[10 am–9:30 pm], Thursday:[10 am–9:30 pm], Friday:[10 am–9:30 pm], Saturday:[10 am–9:30 pm], Sunday:[10 am–9:30 pm], Monday:[10 am–9:30 pm], Tuesday:[10 am–9:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_VNLpfQcTykTh8BzxNMzjSiJ7l-4B-3CBo7K0-5-t_78WTD6cdnwB2ynE6ne7g4toqguA7bQz6VqDa1SFQZcHK6MZzcL-lmSSekz_6np4aDWjji0JGvs6Y7TLASzVZ0whJg98=w122-h92-k-no,8628557109722362046,ChIJJYw3iPwdYzkRvjAsqfnKvnc,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Garmania The Label boutique,"32 A, Bengali chauraha, near Ados Pados Apartment, Ashish Nagar, Indore, Madhya Pradesh 452016","32 A, Bengali chauraha",near Ados Pados Apartment,"Boutique,Women's clothing store",073898 91936,"073898 91936, +91 73898 91936",YES,17,4.8,https://search.google.com/local/reviews?placeid=ChIJwcT6_F3jYjkRJ84p0NTm-nQ&q=boutiques+in+regal+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8429303454277160487,22.716170599999998,75.9080453,,,"Wednesday:[10:30 am–9:30 pm], Thursday:[10:30 am–9:30 pm], Friday:[10:30 am–9:30 pm], Saturday:[10:30 am–9:30 pm], Sunday:[10:30 am–9:30 pm], Monday:[10:30 am–9:30 pm], Tuesday:[10:30 am–9:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdisItjz8aGqz_qOJg75zPdghN8eqw_AG6kn9Wr8WA0zuDBi2HQXQwj4DMMQdZprwZCTn66f5W-GrE_ik0wsEDS4eFas1MlBIIkVru8U9YlhXgCuhT1IexQ1diKRMFW3H40qTq1A=w80-h111-k-no,8429303454277160487,ChIJwcT6_F3jYjkRJ84p0NTm-nQ,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Label Erum Dw | western wears & occasion wears,"189 , khatiwala tank main road, Sapna Sangeeta Rd, Saifee Nagar, Indore, Madhya Pradesh 452014","189 , khatiwala tank main road",Sapna Sangeeta Rd,"Designer Clothing Store,Clothing manufacturer,Clothing store,Clothing supplier,Fashion designer,Haute couture fashion house,Outlet mall,Plus Size Clothing Store,Wedding store,Western apparel store",091110 00578,"091110 00578, +91 91110 00578",YES,88,4.6,https://search.google.com/local/reviews?placeid=ChIJc-pmef78YjkR0pnx0crA87o&q=boutiques+in+regal+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13471322887733483986,22.697800299999997,75.8589276,https://www.label-erumdw.com/,label-erumdw.com,"Wednesday:[12–6:30 pm], Thursday:[12–6:30 pm], Friday:[12–6:30 pm], Saturday:[12–6:30 pm], Sunday:[Closed], Monday:[12–6:30 pm], Tuesday:[12–6:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSHxio9ersFRNLNEe-F7Q49HsstcmrxcNI-HofWeufOPRmDrRb5D_royqZjMUOLWhBI1OX4oKqZNCDBpnhNHmafbkwmcuGL-gbMQC47dk0XdUN66b8Lk73MYmDVFCCFO6kvzdXRw=w80-h106-k-no,13471322887733483986,ChIJc-pmef78YjkR0pnx0crA87o,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
The Boutique by Poonam Khurana,"Shop No.UG-1&2, Shekhar Palace Opposite Golden Gate Scheme No.54, Scheme No 54, Indore, Madhya Pradesh 452010","Shop No.UG-1&2, Shekhar Palace Opposite Golden Gate Scheme No.54",Scheme No 54,Clothing store,099936 37937,"099936 37937, +91 99936 37937",YES,148,4.4,https://search.google.com/local/reviews?placeid=ChIJs6Mjtq4CYzkRBrNdQrkNxIc&q=boutiques+in+regal+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9782959379889107718,22.7561285,75.89261479999999,,,"Wednesday:[11 am–9 pm], Thursday:[11 am–9 pm], Friday:[11 am–9 pm], Saturday:[11 am–9 pm], Sunday:[4:30–8:30 pm], Monday:[11 am–9 pm], Tuesday:[11 am–9 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWSCtg8PbCUT1VsgRQZA1dBvZkJT7YeEttlb2JELz65aBiEUSoTBtu9t3Iq7NwllMb28tjfANNC8Z_HYnCi8vhAi7ke4avcGseeLH7Gb5XrE-BWwFCxdnhIVX-0fx9D_ZevP2o6Q=w138-h92-k-no,9782959379889107718,ChIJs6Mjtq4CYzkRBrNdQrkNxIc,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Label Riya Dhall | Fashion House by Riya Dhall | Bridal Boutique in Indore,"Ground Floor Shop No 2, 6/6, near City Union bank, New Palasia, Indore, Madhya Pradesh 452001",Ground Floor Shop No 2,6/6,"Designer Clothing Store,Fashion designer",091111 14677,"091111 14677, +91 91111 14677",YES,284,4.9,https://search.google.com/local/reviews?placeid=ChIJPyjdpkf9YjkRnXQyFmFwGR4&q=boutiques+in+regal+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2168888257842148509,22.728001499999998,75.8851512,https://labelriyadhall.com/,labelriyadhall.com,"Wednesday:[11 am–9:30 pm], Thursday:[11 am–9:30 pm], Friday:[11 am–9:30 pm], Saturday:[11 am–9:30 pm], Sunday:[11 am–9:30 pm], Monday:[11 am–9:30 pm], Tuesday:[11 am–9:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTzViRy3Y-_FkWgsw1b2XktYaqjfOUmDs-f-XdaskD3d_VKXduG_9csK9iN8f670gaV3rq9k0Q2n2rzuH86aoD2cWCiDKRwxOBa3mG_PEgyjovbK72nbzrNHBMZAD71aiZA7WWvTFHMgM4=w80-h106-k-no,2168888257842148509,ChIJPyjdpkf9YjkRnXQyFmFwGR4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
NAKODA'S BOUTIQUE,"17, Kanchan Bagh, Indore, Madhya Pradesh 452001",17,Kanchan Bagh,"Boutique,Designer Clothing Store",081090 31521,"081090 31521, +91 81090 31521",YES,650,4.2,https://search.google.com/local/reviews?placeid=ChIJJ8HDO6H9YjkRTzj5K6gFMl8&q=boutiques+in+regal+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6859551402289084495,22.7200478,75.8826514,http://www.nakodasboutique.com/,nakodasboutique.com,"Wednesday:[11 am–8:30 pm], Thursday:[11 am–8:30 pm], Friday:[11 am–8:30 pm], Saturday:[11 am–8:30 pm], Sunday:[11 am–8 pm], Monday:[11 am–8:30 pm], Tuesday:[11 am–8:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGLJa_QymPZg2j_dUuouR_NokujTtgaJn5_PH_XL1CdG1F331sjHAiPv8h1VM4r3v8mFb22KV99BjiszKZhgyZpm1uSbnLP2kfSpUTSbspSDlPWzBtiE1UxOQY5LGf4IUPcOUOZg=w137-h92-k-no,6859551402289084495,ChIJJ8HDO6H9YjkRTzj5K6gFMl8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Amita's Boutique | Ladies Tailor & Fashion Boutique,"38D, near Geeta Bhawan Mandir, Kailash Park Colony, Indore, Madhya Pradesh 452001",38D,near Geeta Bhawan Mandir,"Boutique,Clothing store,Designer Clothing Store,Outerwear store,Tailor,Women's clothing store",099935 64960,"099935 64960, +91 99935 64960",YES,87,4.8,https://search.google.com/local/reviews?placeid=ChIJo6yfvbn9YjkRUvyDjLKJID8&q=boutiques+in+regal+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4548787023598845010,22.717508499999997,75.8874486,,,"Wednesday:[12–8:30 pm], Thursday:[12–8:30 pm], Friday:[12–8:30 pm], Saturday:[12–8:30 pm], Sunday:[Closed], Monday:[12–8:30 pm], Tuesday:[12–8:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEg1lIWAut44nADve1X3y3M4cpw9RcFRTc9uSbHirbMT05GKtE7rTAxa1NXfiCiRGEfcc0LO1zVDf9CWUA3lZZ68ewQ-rt6HfkfMzP6wmUMeZUrw1KVfU8mZx62GA2Ws0RF3Om2lhduh7I=w80-h142-k-no,4548787023598845010,ChIJo6yfvbn9YjkRUvyDjLKJID8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Etiquette Apparel Store (Darshan Mall, Indore)","UG-04, Darshan Mall, Race Course Rd, near Janjeerwaala Circle, opposite Abhay Prashal, Near Janjeerwala Square, Opposite B.B.C, Race Course Road, Indore, Madhya Pradesh 452001",UG-04,Darshan Mall,"Clothing store,Designer Clothing Store,Dress store,Plus Size Clothing Store,Western apparel store,Youth clothing store",0731 495 7808,"0731 495 7808, +91 731 495 7808",YES,37,4.9,https://search.google.com/local/reviews?placeid=ChIJ40VbBT0DYzkRkntiFFqLjjE&q=boutiques+in+regal+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3570944773556698002,22.726102299999997,75.878494,,,"Wednesday:[11 am–9:30 pm], Thursday:[11 am–9:30 pm], Friday:[11 am–9:30 pm], Saturday:[11 am–9:30 pm], Sunday:[11 am–9:30 pm], Monday:[11 am–9:30 pm], Tuesday:[11 am–9:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFuDaZsLBidNOW61LdbwZXYSMQL23nOhBtHLzByiaG3CQyClWQimklOpu6OqU7TIVlbiufxIJNyh3cLYm5hP2HdM82sGyFBlsd_iopnckLUM0VFABV8I69ESWoRpuSm4vd_6UDA=w199-h92-k-no,3570944773556698002,ChIJ40VbBT0DYzkRkntiFFqLjjE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Vaibhav Boutique,"Ram Baug, 205, Tilak Path Rd, Tilak Path, Chauraha, Indore, Madhya Pradesh 452001",Ram Baug,"205, Tilak Path Rd",Boutique,099260 92700,"099260 92700, +91 99260 92700",YES,328,4.9,https://search.google.com/local/reviews?placeid=ChIJoTd_PHT9YjkR5f5k2rMdpCo&q=boutiques+in+regal+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3072613504073924325,22.7221106,75.8570572,,,"Wednesday:[10 am–9 pm], Thursday:[10 am–9 pm], Friday:[10 am–9 pm], Saturday:[10 am–9 pm], Sunday:[Closed], Monday:[10 am–9 pm], Tuesday:[10 am–9 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGRajpgQzfPzUTZQZBwcVPiMebdesA0vD40PfEqsxMTvReeiwiplZ-vJdmCsNNNLiJGG9SFDxiEyRY7ekkuIKD2PjON4PJB12eIzjyR8U8N8tEIUfrYGuRqIRbcGrpOAvxXR_yvdXg5lhn=w80-h106-k-no,3072613504073924325,ChIJoTd_PHT9YjkR5f5k2rMdpCo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
